No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted
32,Reed Blankenship,23,S,10,4,196,73,Middle Tenn. St.,3/2/1999,Rook,2,
19,Ian Book,24,QB,0,0,206,73,Notre Dame,3/30/1998,1,,New Orleans Saints / 4th / 133rd pick / 2021
24,James Bradberry,29,CB,17,17,212,73,"Arkansas St.,Samford",8/4/1993,6,11,Carolina Panthers / 2nd / 62nd pick / 2016
11,A.J. Brown,25,WR,17,16,226,73,Mississippi,6/30/1997,3,16,Tennessee Titans / 2nd / 51st pick / 2019
47,Grant Calcaterra,24,TE,15,2,247,77,"Oklahoma,SMU",12/4/1998,Rook,1,Philadelphia Eagles / 6th / 198th pick / 2022
18,Britain Covey,25,WR,17,0,173,68,Utah,3/18/1997,Rook,0,
91,Fletcher Cox,32,DT,17,17,310,76,Mississippi St.,12/13/1990,10,8,Philadelphia Eagles / 1st / 12th pick / 2012
90,Jordan Davis,22,DT,13,5,340,78,Georgia,1/12/2000,Rook,3,Philadelphia Eagles / 1st / 13th pick / 2022
17,Nakobe Dean,22,LB,17,0,225,73,Georgia,12/13/2000,Rook,1,Philadelphia Eagles / 3rd / 83rd pick / 2022
69,Landon Dickerson,24,G,17,17,333,78,"Florida St.,Alabama",9/30/1998,1,10,Philadelphia Eagles / 2nd / 37th pick / 2021
77,Andre Dillard,27,T,12,0,315,77,Washington St.,10/3/1995,3,1,Philadelphia Eagles / 1st / 22nd pick / 2019
63,Jack Driscoll,25,OL,17,3,296,77,"Massachusetts,Auburn",4/1/1997,2,3,Philadelphia Eagles / 4th / 145th pick / 2020
57,T.J. Edwards,26,LB,17,17,242,73,Wisconsin,8/12/1996,3,8,
4,Jake Elliott,27,K,16,0,167,69,Memphis,1/21/1995,5,3,Cincinnati Bengals / 5th / 153rd pick / 2017
53,Christian Elliss,23,LB,6,0,233,75,Idaho,1/2/1999,1,0,
22,Marcus Epps,26,S,17,17,198,73,Wyoming,1/27/1996,3,5,Minnesota Vikings / 6th / 191st pick / 2019
14,Kenneth Gainwell,23,RB,17,0,200,69,Memphis,3/14/1999,1,4,Philadelphia Eagles / 5th / 150th pick / 2021
23,C.J. Gardner-Johnson,25,S,12,12,210,71,Florida,12/20/1997,3,5,New Orleans Saints / 4th / 105th pick / 2019
88,Dallas Goedert,27,TE,12,12,256,77,South Dakota St.,1/3/1995,4,7,Philadelphia Eagles / 2nd / 49th pick / 2018
55,Brandon Graham,34,DE,17,1,265,74,Michigan,4/3/1988,12,2,Philadelphia Eagles / 1st / 13th pick / 2010
97,Javon Hargrave,29,DT,17,17,305,74,South Carolina St.,2/7/1993,6,9,Pittsburgh Steelers / 3rd / 89th pick / 2016
