ccode,country,cmark,year,war,priorwar,onset,ethonset,durest,aim,casename,ended,ethwar,waryrs,pop,polity2,gdpen,gdptype,gdpenl,lgdpenl1,lpopl1,region,western,eeurop,lamerica,ssafrica,asia,nafrme,colbrit,colfra,mtnest,mountains,elevdiff,oil,noncontig,ef,plural,second,numlang,relfrac,plurrel,minrelpc,muslim,newstate,polity2l,instability,anocl,dem,empethfrac,empwarl,emponset,empgdpenl,emplpopl,emplmtnest,empncontig,empolity2l,sdwars,sdonset,colwars,colonset,cowwars,cowonset,cowwarl,sdwarl,colwarl
2,USA,1,1945,0,0,0,0,,,,,,,11.856296,10,7.6259999,3,7.6259999,8.9393187,11.856296,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.4936721,0,0,6.7971797,11.979191,3.2115722,1,7.68712,0,0,,,0,0,0,0,
2,USA,0,1946,0,0,0,0,,,,,,,11.863132,10,7.6539998,3,7.6259999,8.9393187,11.856296,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.3569501,0,0,6.7971797,11.979191,3.2148678,1,10,0,0,,,0,0,0,0,
2,USA,0,1947,0,0,0,0,,,,,,,11.868591,10,8.0249996,3,7.6539998,8.9429836,11.863132,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.35695007,0,0,7.6539998,11.863132,3.2148678,1,10,0,0,,,0,0,0,0,
2,USA,0,1948,0,0,0,0,,,,,,,11.886735,10,8.2700005,3,8.0249996,8.9903173,11.868591,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.3569501,0,0,8.0249996,11.868591,3.2148678,1,10,0,0,,,0,0,0,0,
2,USA,0,1949,0,0,0,0,,,,,,,11.90488,10,8.04,3,8.2700005,9.0203896,11.886735,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.3569501,0,0,8.2700005,11.886735,3.2148678,1,10,0,0,,,0,0,0,0,
2,USA,0,1950,0,0,0,0,,,,,,,11.933431,10,8.7720003,0,8.04,8.9921846,11.90488,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.3569501,0,0,8.04,11.90488,3.2148678,1,10,0,0,,,0,0,0,0,
2,USA,0,1951,0,0,0,0,,,,,,,11.95118,10,9.1090002,0,8.7720003,9.07932,11.933431,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.35695013,0,0,8.7720003,11.933431,3.2148678,1,10,0,0,,,0,0,0,0,
2,USA,0,1952,0,0,0,0,,,,,,,11.968621,10,9.0740004,0,9.1090002,9.1170177,11.95118,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.35695013,0,0,9.1090002,11.95118,3.2148678,1,10,0,0,,,0,0,0,0,
2,USA,0,1953,0,0,0,0,,,,,,,11.985893,10,9.3000002,0,9.0740004,9.1131687,11.968621,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.3569501,0,0,9.0740004,11.968621,3.2148678,1,10,0,0,,,0,0,0,0,
2,USA,0,1954,0,0,0,0,,,,,,,12.002744,10,9.0889997,0,9.3000002,9.1377697,11.985893,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.3569501,0,0,9.3000002,11.985893,3.2148678,1,10,0,0,,,0,0,0,0,
2,USA,0,1955,0,0,0,0,,,,,,,12.019316,10,9.7229996,0,9.0889997,9.1148205,12.002744,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.3569501,0,0,9.0889997,12.002744,3.2148678,1,10,0,0,,,0,0,0,0,
2,USA,0,1956,0,0,0,0,,,,,,,12.036956,10,9.7119999,0,9.7229996,9.1822491,12.019316,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.3569501,0,0,9.7229996,12.019316,3.2148678,1,10,0,0,,,0,0,0,0,
2,USA,0,1957,0,0,0,0,,,,,,,12.05429,10,9.6429996,0,9.7119999,9.1811171,12.036956,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.35695013,0,0,9.7119999,12.036956,3.2148678,1,10,0,0,,,0,0,0,0,
2,USA,0,1958,0,0,0,0,,,,,,,12.071209,10,9.3699999,0,9.6429996,9.1739874,12.05429,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.35695007,0,0,9.6429996,12.05429,3.2148678,1,10,0,0,,,0,0,0,0,
2,USA,0,1959,0,0,0,0,,,,,,,12.087965,10,9.8389997,0,9.3699999,9.1452684,12.071209,western democracies and japan,1,0,0,0,0,0,1,0,23.900002,3.2148678,6280,0,1,0.49095702,0.69099998,0.125,3,0.59599996,56,28,1.9,0,10,0,0,1,0.3569501,0,0,9.3699999,12.071209,3.2148678,1,10,0,0,,,0,0,0,0,
