congress,state_abbrev,district_code,chamber,party_code,bioname,born,ideology_score,votes_cast
117,AL,7,House,100,"SEWELL, Terri",1965,-0.393,713
117,AZ,3,House,100,"GRIJALVA, Raúl M.",1948,-0.598,716
117,AZ,2,House,100,"KIRKPATRICK, Ann",1950,-0.169,723
117,AZ,7,House,100,"GALLEGO, Ruben",1979,-0.45,721
117,AZ,1,House,100,"O'HALLERAN, Thomas C.",1946,-0.197,718
117,AZ,9,House,100,"STANTON, Greg",1970,-0.287,725
117,CA,12,House,100,"PELOSI, Nancy",1940,-0.49,106
117,CA,28,House,100,"SCHIFF, Adam",1960,-0.35,725
117,CA,38,House,100,"SÁNCHEZ, Linda T.",1969,-0.507,719
117,CA,16,House,100,"COSTA, Jim",1952,-0.193,706
117,CA,6,House,100,"MATSUI, Doris",1944,-0.434,715
117,CA,9,House,100,"McNERNEY, Jerry",1951,-0.263,723
117,CA,14,House,100,"SPEIER, Karen Lorraine Jacqueline (Jackie)",1950,-0.381,684
117,CA,27,House,100,"CHU, Judy",1953,-0.488,723
117,CA,3,House,100,"GARAMENDI, John",1945,-0.309,718
117,CA,37,House,100,"BASS, Karen",1953,-0.584,709
117,CA,2,House,100,"HUFFMAN, Jared",1964,-0.43,719
117,CA,7,House,100,"BERA, Ami",1965,-0.235,704
117,CA,15,House,100,"SWALWELL, Eric",1980,-0.366,720
117,CA,26,House,100,"BROWNLEY, Julia",1952,-0.288,718
117,CA,29,House,100,"CÁRDENAS, Tony",1963,-0.385,714
117,CA,36,House,100,"RUIZ, Raul",1972,-0.246,724
117,CA,41,House,100,"TAKANO, Mark",1960,-0.463,717
117,CA,47,House,100,"LOWENTHAL, Alan",1941,-0.449,720
117,CA,51,House,100,"VARGAS, Juan",1961,-0.402,717
117,CA,52,House,100,"PETERS, Scott",1958,-0.183,716
117,CA,11,House,100,"DESAULNIER, Mark James",1952,-0.53,721
117,CA,31,House,100,"AGUILAR, Peter Rey",1979,-0.296,723
117,CA,33,House,100,"LIEU, Ted",1969,-0.375,719
117,CA,35,House,100,"TORRES, Norma Judith",1965,-0.366,714
117,CA,44,House,100,"BARRAGÁN, Nanette Diaz",1976,-0.515,716
117,CA,24,House,100,"CARBAJAL, Salud",1964,-0.298,725
117,CA,46,House,100,"CORREA, Jose Luis",1958,-0.287,723
117,CA,17,House,100,"KHANNA, Rohit",1976,-0.543,721
117,CA,20,House,100,"PANETTA, James Varni",1969,-0.299,725
117,CA,34,House,100,"GOMEZ, Jimmy",1974,-0.572,720
117,CA,10,House,100,"HARDER, Josh",1986,-0.385,722
117,CA,49,House,100,"LEVIN, Mike",1978,-0.376,725
117,CA,45,House,100,"PORTER, Katie",1974,-0.19,723
117,CA,53,House,100,"JACOBS, Sara",1989,-0.325,713
117,CA,43,House,100,"WATERS, Maxine",1938,-0.656,706
117,CA,18,House,100,"ESHOO, Anna Georges",1942,-0.381,719
117,CA,40,House,100,"ROYBAL-ALLARD, Lucille",1941,-0.469,721
117,CA,19,House,100,"LOFGREN, Zoe",1947,-0.401,715
117,CA,30,House,100,"SHERMAN, Brad",1954,-0.343,722
117,CA,13,House,100,"LEE, Barbara",1946,-0.681,717
117,CA,5,House,100,"THOMPSON, Michael",1951,-0.395,723
117,CA,32,House,100,"NAPOLITANO, Grace Flores",1936,-0.448,724
117,CO,7,House,100,"PERLMUTTER, Ed",1953,-0.282,725
117,CO,6,House,100,"CROW, Jason",1979,-0.278,722
117,CO,2,House,100,"NEGUSE, Joseph",1984,-0.375,724
117,CO,1,House,100,"DeGETTE, Diana",1957,-0.431,721
117,CT,2,House,100,"COURTNEY, Joe",1953,-0.343,725
117,CT,4,House,100,"HIMES, James A.",1966,-0.241,722
117,CT,5,House,100,"HAYES, Jahana",1973,-0.368,725
117,CT,3,House,100,"DeLAURO, Rosa L.",1943,-0.415,720
117,CT,1,House,100,"LARSON, John B.",1948,-0.397,716
117,DE,1,House,100,"BLUNT ROCHESTER, Lisa",1962,-0.335,724
117,DC,0,House,100,"NORTON, Eleanor Holmes",1937,-0.498,11
117,FL,23,House,100,"WASSERMAN SCHULTZ, Debbie",1966,-0.42,724
117,FL,14,House,100,"CASTOR, Kathy",1966,-0.439,715
117,FL,22,House,100,"DEUTCH, Theodore E. (Ted)",1966,-0.401,686
117,FL,24,House,100,"WILSON, Frederica",1942,-0.479,718
117,FL,21,House,100,"FRANKEL, Lois",1948,-0.401,717
