Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4158861,101.3069342,100.263872,99.17870007,99.86575095,96.40820151,94.80581441,93.08607166,90.80433038,88.28564237,85.55891819,82.50324752,79.37053949,76.20230254,73.02653975,70.01817136,67.28585678,64.60789371,62.01244034,59.73133978,57.63014072,55.59498006,53.71322022,52.02814507,50.51858549,49.13706055,47.79256486,46.42285254,45.08736935,43.89669956,42.85888817,41.8238206,40.79762455,
Afghanistan,AFG,,,231.4,227.6,223.9,220,216.5,212.9,209.3,205.6,202.1,198.5,194.8,191.2,187.5,183.8,180,176.1,172.2,168.1,164,159.8,155.6,151.2,147.1,143,138.9,134.7,130.6,126.5,122.5,118.7,115.1,111.8,108.6,105.5,102.7,99.9,97.2,94.6,92,89.3,86.6,83.7,80.9,78,75.1,72.3,69.6,67,64.6,62.3,60.1,58.1,56.2,54.6,53,51.5,50.1,48.8,47.4,46.1,44.8,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.6206379,112.7243128,111.9470339,111.1938004,110.3175689,109.1116367,107.6852267,105.877613,103.816387,101.5413734,99.0034981,96.39607709,93.73103829,91.01662481,88.3068568,85.6584281,83.23870936,80.9359069,78.86099599,76.9727977,75.23178501,73.70951852,72.28536145,70.93596854,69.8470234,68.6722269,67.49349641,66.30460209,65.00739852,63.59875035,62.15986315,60.67933473,59.13002875,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,141.8,140.2,138.5,136.9,135.6,134.6,133.8,133.1,132.5,132.3,132.1,131.9,131.7,131.5,131.1,130.6,129.5,128,125.9,123.5,120.7,117.5,113.7,109.5,104.9,100.2,95.1,90,85,80,75.5,71,66.9,63.3,60.3,57.6,55.4,53.4,51.6,49.9,48.4,47,45.7,
Albania,ALB,,,,,,,,,,,,,,,,,,,76.8,71.3,66,61.3,57,53,49.5,46.3,43.4,40.9,38.7,36.9,35.2,33.9,32.7,31.6,30.6,29.5,28.5,27.4,26.3,25.2,24,22.9,21.6,20.4,19.1,17.8,16.5,15.3,14.1,12.9,11.9,10.8,10,9.3,8.8,8.5,8.4,8.3,8.3,8.3,8.4,8.4,8.4,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,10.1,9.8,9.6,9.4,9.1,8.9,8.6,8.4,8.1,7.9,7.6,7.3,7.1,6.8,6.5,6.3,6,5.8,5.6,5.3,5.1,4.9,4.7,4.4,4.3,4.1,3.9,3.7,3.5,3.4,3.2,3.1,3,2.9,2.8,2.7,2.6,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.68958156,57.12502133,55.28697639,53.71123666,52.2190582,50.82725116,49.32546513,47.90452227,46.49092726,45.11923959,43.70606812,42.29710849,41.00165736,39.7154126,38.51231213,37.35971118,36.22689661,34.94339205,33.77474649,32.67920922,31.54476316,30.6936152,30.16687064,29.45515611,28.64847169,28.04564564,27.47136182,26.89326133,26.44495495,25.72985337,25.0142508,24.58050273,23.97136794,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,39.2,35.3,31.7,28.5,25.6,23.2,21,19.2,17.6,16.2,15,14,13.1,12.3,11.6,11,10.5,10.1,9.7,9.4,9.1,8.9,8.7,8.5,8.4,8.2,8.1,8,7.8,7.7,7.5,7.4,7.3,7.1,7,6.8,6.7,6.5,6.3,6.1,5.9,5.6,5.3,5,4.8,4.5,4.3,
Argentina,ARG,,,,,,,,,,59.5,58.9,58.3,57.5,56.4,54.8,52.8,50.1,47,43.6,40.1,36.9,34.2,31.9,29.9,28.2,26.9,26.1,25.7,25.6,25.6,25.4,25.1,24.4,23.6,22.6,21.5,20.5,19.5,18.7,17.9,17.3,16.8,16.4,15.9,15.4,15,14.5,14.1,13.8,13.4,12.9,12.4,11.9,11.4,10.9,10.5,10.1,9.8,9.5,9.2,8.9,8.6,8.4,
