Country,Code,Year,percent_30
Albania,ALB,1996,99.91247
Albania,ALB,2002,99.63838
Albania,ALB,2005,99.434456
Albania,ALB,2008,99.01586
Albania,ALB,2012,99.6183
Albania,ALB,2014,99.12649
Albania,ALB,2015,98.22969
Albania,ALB,2016,97.88664
Albania,ALB,2017,98.27504
Albania,ALB,2018,98.34705
Albania,ALB,2019,97.49836
Albania,ALB,2020,97.8695
Algeria,DZA,1988,99.02948
Algeria,DZA,1995,99.65751
Algeria,DZA,2011,99.38888
Angola,AGO,2000,99.077644
Angola,AGO,2008,99.710625
Angola,AGO,2018,99.65406
Argentina (urban),,1980,77.23707
Argentina (urban),,1986,75.18247
Argentina (urban),,1987,79.04476
Argentina (urban),,1991,89.4757
Argentina (urban),,1992,87.66575
Argentina (urban),,1993,88.143745
Argentina (urban),,1994,88.410736
Argentina (urban),,1995,88.70018
Argentina (urban),,1996,88.64941
Argentina (urban),,1997,87.689316
Argentina (urban),,1998,88.31415
Argentina (urban),,1999,89.31036
Argentina (urban),,2000,89.45437
Argentina (urban),,2001,90.598976
Argentina (urban),,2002,95.013176
Argentina (urban),,2003,91.453354
Argentina (urban),,2004,90.04267
Argentina (urban),,2005,88.65684
Argentina (urban),,2006,86.1734
Argentina (urban),,2007,85.47785
Argentina (urban),,2008,84.454926
Argentina (urban),,2009,83.293274
Argentina (urban),,2010,82.832924
Argentina (urban),,2011,80.71915
Argentina (urban),,2012,80.75164
Argentina (urban),,2013,80.91325
Argentina (urban),,2014,83.02116
Argentina (urban),,2016,82.17017
Argentina (urban),,2017,80.481155
Argentina (urban),,2018,84.277306
Argentina (urban),,2019,84.73381
Argentina (urban),,2020,88.500114
Argentina (urban),,2021,87.13437
Argentina (urban),,2022,88.28227
Armenia,ARM,1999,99.632935
Armenia,ARM,2001,99.73056
Armenia,ARM,2002,99.6556
Armenia,ARM,2003,99.58402
Armenia,ARM,2004,99.035355
Armenia,ARM,2005,98.76931
Armenia,ARM,2006,99.67619
Armenia,ARM,2007,99.43184
Armenia,ARM,2008,99.63914
Armenia,ARM,2009,99.82692
Armenia,ARM,2010,99.662
Armenia,ARM,2011,99.59022
Armenia,ARM,2012,99.31822
Armenia,ARM,2013,99.60308
Armenia,ARM,2014,98.961945
Armenia,ARM,2015,98.59429
Armenia,ARM,2016,99.49424
Armenia,ARM,2017,98.79664
Armenia,ARM,2018,98.26598
Armenia,ARM,2019,99.481674
Armenia,ARM,2020,99.796555
Armenia,ARM,2021,99.52315
Armenia,ARM,2022,99.69465
Australia,AUS,1981,52.493866
Australia,AUS,1985,51.33741
Australia,AUS,1989,49.746597
Australia,AUS,1995,55.249382
Australia,AUS,2001,46.730442
Australia,AUS,2003,44.494614
Australia,AUS,2004,38.74769
Australia,AUS,2008,26.335821
Australia,AUS,2010,25.003914
Australia,AUS,2014,20.237865
Australia,AUS,2016,21.244474
Australia,AUS,2018,20.245657
Austria,AUT,1994,28.682964
Austria,AUT,1995,28.222025
Austria,AUT,1996,31.246286
Austria,AUT,1997,30.97746
Austria,AUT,1998,30.987633
Austria,AUT,1999,28.172201
Austria,AUT,2000,28.243341
Austria,AUT,2003,24.444294
Austria,AUT,2004,21.72156
Austria,AUT,2005,22.97081
Austria,AUT,2006,22.302673
Austria,AUT,2007,21.687937
Austria,AUT,2008,20.198292
Austria,AUT,2009,19.75209
Austria,AUT,2010,18.336323
Austria,AUT,2011,20.15908
Austria,AUT,2012,19.980898
Austria,AUT,2013,18.162584
Austria,AUT,2014,19.34046
Austria,AUT,2015,19.588734
Austria,AUT,2016,17.167873
Austria,AUT,2017,17.191162
Austria,AUT,2018,17.549404
Austria,AUT,2019,15.64433
Austria,AUT,2020,14.992562
Austria,AUT,2021,16.495848
Azerbaijan,AZE,1995,99.66862
Azerbaijan,AZE,2001,98.78965
Azerbaijan,AZE,2002,99.0254
Azerbaijan,AZE,2003,98.85893
Azerbaijan,AZE,2004,98.53247
Azerbaijan,AZE,2005,98.26106
Bangladesh,BGD,1983,99.999985
Bangladesh,BGD,1985,99.999985
Bangladesh,BGD,1988,99.999985
Bangladesh,BGD,1991,99.98792
Bangladesh,BGD,1995,99.91299
Bangladesh,BGD,2000,99.96514
Bangladesh,BGD,2005,99.92
Bangladesh,BGD,2010,99.876366
Bangladesh,BGD,2016,99.82553
Bangladesh,BGD,2022,99.714264
Belarus,BLR,1998,99.87555
Belarus,BLR,1999,99.936874
Belarus,BLR,2000,99.853096
Belarus,BLR,2001,99.71477
Belarus,BLR,2002,99.6195
Belarus,BLR,2003,99.77162
Belarus,BLR,2004,99.69986
Belarus,BLR,2005,98.98844
Belarus,BLR,2006,98.31173
Belarus,BLR,2007,96.479645
Belarus,BLR,2008,96.53056
Belarus,BLR,2009,96.2069
Belarus,BLR,2010,93.04539
Belarus,BLR,2011,93.98768
Belarus,BLR,2012,91.34087
Belarus,BLR,2013,87.78699
Belarus,BLR,2014,85.89526
Belarus,BLR,2015,89.79243
Belarus,BLR,2016,91.51765
Belarus,BLR,2017,90.1639
Belarus,BLR,2018,87.613655
Belarus,BLR,2019,85.25434
Belarus,BLR,2020,85.27942
Belgium,BEL,1985,57.99989
Belgium,BEL,1988,54.474026
Belgium,BEL,1992,45.96173
Belgium,BEL,1995,33.69402
Belgium,BEL,1997,33.48033
Belgium,BEL,2000,27.243435
Belgium,BEL,2003,29.387093
Belgium,BEL,2004,26.92396
Belgium,BEL,2005,25.63644
Belgium,BEL,2006,25.64585
Belgium,BEL,2007,25.385983
Belgium,BEL,2008,23.106789
Belgium,BEL,2009,22.519957
Belgium,BEL,2010,22.965414
Belgium,BEL,2011,24.911438
Belgium,BEL,2012,22.578556
Belgium,BEL,2013,22.712751
Belgium,BEL,2014,22.776083
Belgium,BEL,2015,21.965977
Belgium,BEL,2016,22.20225
Belgium,BEL,2017,20.724981
Belgium,BEL,2018,19.241402
Belgium,BEL,2019,17.555716
Belgium,BEL,2020,15.616422
Belgium,BEL,2021,14.988749
Belize,BLZ,1993,95.5478
Belize,BLZ,1994,95.93818
Belize,BLZ,1996,96.52743
Belize,BLZ,1997,97.19346
Belize,BLZ,1998,96.43439
Belize,BLZ,1999,95.87815
Benin,BEN,2003,99.86903
Benin,BEN,2011,99.91557
Benin,BEN,2015,99.87611
Benin,BEN,2018,99.715385
Benin,BEN,2021,99.729805
Bhutan,BTN,2003,99.266365
Bhutan,BTN,2007,99.47355
Bhutan,BTN,2012,98.141266
Bhutan,BTN,2017,98.80505
Bhutan,BTN,2022,97.174675
Bolivia,BOL,1997,94.9908
Bolivia,BOL,1999,95.73417
Bolivia,BOL,2000,96.00191
Bolivia,BOL,2001,96.292755
Bolivia,BOL,2002,95.97336
Bolivia,BOL,2004,95.06991
Bolivia,BOL,2005,93.99991
Bolivia,BOL,2006,93.562805
Bolivia,BOL,2007,94.44724
Bolivia,BOL,2008,94.25415
Bolivia,BOL,2009,94.22749
Bolivia,BOL,2011,92.708
Bolivia,BOL,2012,92.1798
Bolivia,BOL,2013,90.51455
Bolivia,BOL,2014,90.98836
Bolivia,BOL,2015,91.85142
Bolivia,BOL,2016,92.39445
Bolivia,BOL,2017,91.86005
Bolivia,BOL,2018,92.86494
Bolivia,BOL,2019,92.55256
Bolivia,BOL,2020,92.15411
Bolivia,BOL,2021,92.3877
Bolivia (urban),,1990,97.893135
Bolivia (urban),,1992,97.58938
Bosnia and Herzegovina,BIH,2001,97.56264
Bosnia and Herzegovina,BIH,2004,86.48845
Bosnia and Herzegovina,BIH,2007,82.686226
Bosnia and Herzegovina,BIH,2011,84.76715
Botswana,BWA,1985,98.99336
Botswana,BWA,1993,98.78039
Botswana,BWA,2002,94.303856
Botswana,BWA,2009,94.40317
Botswana,BWA,2015,96.72323
Brazil,BRA,1981,95.437035
Brazil,BRA,1982,95.25327
Brazil,BRA,1983,96.443054
Brazil,BRA,1984,96.47027
Brazil,BRA,1985,96.31982
Brazil,BRA,1986,90.60857
Brazil,BRA,1987,93.395775
Brazil,BRA,1988,93.3175
Brazil,BRA,1989,91.78149
Brazil,BRA,1990,94.19761
Brazil,BRA,1992,97.00281
Brazil,BRA,1993,94.53728
Brazil,BRA,1995,91.171936
Brazil,BRA,1996,91.22629
Brazil,BRA,1997,91.35107
Brazil,BRA,1998,91.17734
Brazil,BRA,1999,91.86882
Brazil,BRA,2001,90.43404
Brazil,BRA,2002,90.34548
Brazil,BRA,2003,90.94193
Brazil,BRA,2004,91.01682
Brazil,BRA,2005,90.598236
Brazil,BRA,2006,89.69461
Brazil,BRA,2007,89.29386
Brazil,BRA,2008,88.50018
Brazil,BRA,2009,88.03189
Brazil,BRA,2011,87.01432
Brazil,BRA,2012,85.49086
Brazil,BRA,2013,84.552315
Brazil,BRA,2014,83.82405
Brazil,BRA,2015,84.54147
Brazil,BRA,2016,84.52408
Brazil,BRA,2017,84.6278
Brazil,BRA,2018,83.82672
Brazil,BRA,2019,83.59496
Brazil,BRA,2020,84.72934
Brazil,BRA,2021,85.881454
Brazil,BRA,2022,83.16603
Bulgaria,BGR,1992,87.82321
Bulgaria,BGR,2006,98.074684
Bulgaria,BGR,2007,93.08623
Bulgaria,BGR,2008,91.77867
Bulgaria,BGR,2009,91.33074
Bulgaria,BGR,2010,92.256615
Bulgaria,BGR,2011,94.03494
Bulgaria,BGR,2012,93.05868
Bulgaria,BGR,2013,89.77344
Bulgaria,BGR,2014,88.37259
Bulgaria,BGR,2015,88.78212
Bulgaria,BGR,2016,84.60526
Bulgaria,BGR,2017,85.29699
Bulgaria,BGR,2018,79.04445
Bulgaria,BGR,2019,76.67408
Bulgaria,BGR,2020,73.29991
Bulgaria,BGR,2021,71.14491
Burkina Faso,BFA,1994,99.936775
Burkina Faso,BFA,1998,99.861984
Burkina Faso,BFA,2003,99.918465
Burkina Faso,BFA,2009,99.896545
Burkina Faso,BFA,2014,99.92306
Burkina Faso,BFA,2018,99.68064
Burkina Faso,BFA,2021,99.80322
Burundi,BDI,1992,99.999985
Burundi,BDI,1998,99.9869
Burundi,BDI,2006,100
Burundi,BDI,2013,99.98109
Burundi,BDI,2020,99.985954
Cameroon,CMR,1996,99.76838
Cameroon,CMR,2001,99.49022
Cameroon,CMR,2007,99.70695
Cameroon,CMR,2014,99.269485
