Country,Code,Year,cigarettes_sold_daily
Australia,AUS,2010,3.7
Belgium,BEL,2010,3.9
Bulgaria,BGR,2010,6.6
Canada,CAN,2010,3.3
Croatia,HRV,2010,4.9
Czechia,CZE,2010,5.2
Denmark,DNK,2010,4.9
Estonia,EST,2010,4.8
France,FRA,2010,3
Germany,DEU,2010,3.2
Greece,GRC,2010,6.8
Hungary,HUN,2010,4.5
Iceland,ISL,2010,2.9
Ireland,IRL,2010,3.2
Israel,ISR,2010,4.1
Italy,ITA,2010,4.7
Japan,JPN,2010,5.3
Latvia,LVA,2010,2.7
Lithuania,LTU,2010,4.2
Netherlands,NLD,2010,2.7
Norway,NOR,2010,2.5
Poland,POL,2010,4.6
Portugal,PRT,2010,3.6
Romania,ROU,2010,4.1
Slovakia,SVK,2010,4.4
Slovenia,SVN,2010,6.2
Spain,ESP,2010,5.1
United Kingdom,GBR,2010,2.8
United States,USA,2010,3.4
Australia,AUS,2009,3.8
Belgium,BEL,2009,3.6
Bulgaria,BGR,2009,8.3
Canada,CAN,2009,2.9
Croatia,HRV,2009,4.3
Czechia,CZE,2009,5.8
Denmark,DNK,2009,5
Estonia,EST,2009,5.1
Finland,FIN,2009,2.4
France,FRA,2009,3
Germany,DEU,2009,3.4
Greece,GRC,2009,9.7
Hungary,HUN,2009,5
Iceland,ISL,2009,3.3
Ireland,IRL,2009,3.6
Israel,ISR,2009,4.2
Italy,ITA,2009,4.8
Japan,JPN,2009,5.9
Latvia,LVA,2009,3.4
Lithuania,LTU,2009,5.1
Netherlands,NLD,2009,2.7
New Zealand,NZL,2009,2
Norway,NOR,2009,2.7
Poland,POL,2009,5.1
Portugal,PRT,2009,3.8
Romania,ROU,2009,4.9
Slovakia,SVK,2009,4.6
Slovenia,SVN,2009,6.6
Spain,ESP,2009,5.7
Switzerland,CHE,2009,5.6
United Kingdom,GBR,2009,3.1
United States,USA,2009,3.6
Australia,AUS,2008,3.9
Belgium,BEL,2008,3.7
Bulgaria,BGR,2008,8.8
Canada,CAN,2008,2.8
Croatia,HRV,2008,6.1
Czechia,CZE,2008,6.2
Denmark,DNK,2008,5
Estonia,EST,2008,5.1
Finland,FIN,2008,4.6
France,FRA,2008,2.9
Germany,DEU,2008,3.4
Greece,GRC,2008,8.6
Hungary,HUN,2008,5.5
Iceland,ISL,2008,3.5
Ireland,IRL,2008,3.9
Israel,ISR,2008,4.3
Italy,ITA,2008,4.9
Japan,JPN,2008,6.2
Latvia,LVA,2008,5.7
Lithuania,LTU,2008,5.9
Netherlands,NLD,2008,3
New Zealand,NZL,2008,2.1
Norway,NOR,2008,2.8
Poland,POL,2008,5.1
Portugal,PRT,2008,3.8
Romania,ROU,2008,4.9
Slovakia,SVK,2008,5
Slovenia,SVN,2008,7.4
Spain,ESP,2008,6.4
Switzerland,CHE,2008,5.5
United Kingdom,GBR,2008,3.3
United States,USA,2008,3.9
